,score
13287,9.25
7314,10.0
4163,8.14
6004,8.59
17408,10.0
16389,7.88
9905,8.33
6226,9.0
10143,7.67
8611,0.0
7682,0.0
7298,10.0
13037,8.62
13686,10.0
9424,8.48
15321,9.0
1810,8.72
45,9.0
7229,9.0
8876,5.0
8551,0.0
14985,8.16
3744,10.0
17329,0.0
7996,8.32
16529,0.0
10695,9.15
9643,0.0
9573,6.72
3999,0.0
2530,9.67
12909,8.0
18750,9.5
18694,8.93
9077,7.66
9854,9.05
12634,8.67
4148,0.0
7400,0.0
5107,8.81
18840,8.47
8736,8.15
9756,7.15
10229,7.5
16734,8.94
3694,0.0
6342,9.0
14424,0.0
5263,8.43
18153,9.26
16140,0.0
11131,8.83
14258,10.0
12771,8.0
2292,9.5
7137,0.0
7878,7.85
8129,8.77
16444,0.0
7913,8.42
4084,7.8
11354,9.18
2272,8.33
9332,0.0
5663,5.5
742,9.33
3128,0.0
12671,9.01
15109,0.0
17284,0.0
13487,7.31
8144,9.12
11633,8.71
4331,0.0
13532,0.0
4603,0.0
17431,0.0
2139,8.94
342,0.0
580,8.0
1351,9.0
10139,9.67
18868,0.0
10014,9.5
2434,8.33
7045,0.0
16321,0.0
115,10.0
5506,9.0
15924,8.66
1215,9.0
18849,0.0
12915,8.29
11144,10.0
14081,10.0
8600,7.2
9544,8.17
9181,8.27
5773,9.67
18823,9.02
5433,10.0
15774,0.0
7623,8.77
6941,9.5
14334,0.0
12100,0.0
1491,8.42
581,4.0
5299,9.17
7086,0.0
16074,8.93
8663,8.95
6950,10.0
2271,5.88
19013,8.71
4594,8.93
3323,1.0
2603,9.6
8656,10.0
12711,8.07
7383,8.77
10830,10.0
4976,8.54
8670,8.37
11800,9.0
3016,8.75
11189,10.0
1350,0.0
12552,9.06
5386,8.0
19005,8.95
4934,8.19
11155,9.02
7871,8.71
9846,9.21
14385,0.0
8462,8.03
18889,0.0
8395,8.4
14805,9.33
5378,10.0
2976,0.0
1279,0.0
1792,8.3
17588,0.0
4692,8.0
753,9.75
14946,0.0
9642,7.62
10567,10.0
10391,9.21
14573,7.0
11837,0.0
16478,8.91
16623,8.56
12134,8.7
12692,7.48
14063,7.0
18590,9.0
9068,6.9
4816,8.75
6633,0.0
83,0.0
6373,9.0
9493,7.56
17688,9.0
16421,10.0
14685,8.0
9745,8.66
8470,8.29
10275,6.69
9848,6.0
8616,8.49
2420,9.0
18985,8.34
12763,0.0
5907,8.0
4345,9.11
15379,9.5
18956,8.85
18683,0.0
16811,0.0
6806,9.0
4013,0.0
4531,8.67
8816,8.51
15108,8.62
10100,8.78
810,10.0
5248,8.0
8210,8.74
2986,9.33
3427,10.0
17371,0.0
13731,10.0
12768,0.0
2260,0.0
18729,8.91
11858,8.77
18311,0.0
18428,9.1
3461,8.86
13366,8.67
1960,7.27
14657,7.67
379,9.17
17410,10.0
9381,7.03
15821,0.0
6025,8.0
16295,8.67
17648,0.0
13883,8.7
3003,0.0
8149,0.0
3053,7.25
18897,0.0
1735,7.06
10098,6.0
8567,8.4
6761,8.33
6117,10.0
16079,0.0
1571,0.0
6953,9.0
15063,0.0
17464,0.0
12781,6.84
6235,8.25
17164,9.0
886,8.98
17425,0.0
9420,7.89
4661,0.0
15456,9.33
10210,8.82
10726,9.0
11446,8.97
11118,10.0
11819,8.0
18466,9.0
14989,0.0
9581,8.0
16341,9.3
10650,10.0
957,10.0
12950,9.19
4626,4.0
4036,8.0
17852,0.0
5633,9.21
14856,8.0
16523,10.0
1055,0.0
1348,8.34
12881,8.92
12152,0.0
12689,0.0
4296,0.0
14762,8.5
13296,0.0
18183,10.0
12866,8.19
7141,8.95
8028,8.72
12884,8.08
3635,0.0
12342,9.33
4419,8.0
11141,0.0
6568,0.0
10487,0.0
18712,9.14
14586,6.25
14326,10.0
11669,8.9
9671,8.21
9947,10.0
7842,10.0
1656,7.6
17180,0.0
147,9.0
3803,8.9
16221,0.0
274,9.5
16919,10.0
9918,9.67
16261,9.04
18774,0.0
18039,6.0
18642,10.0
17071,10.0
8786,8.06
18942,0.0
3289,7.0
11815,10.0
10218,8.0
3879,8.0
1623,8.47
1993,0.0
16787,7.43
8842,6.0
11324,0.0
6547,9.02
16517,0.0
16077,0.0
4172,8.95
14129,9.15
12755,8.27
8094,0.0
15739,0.0
6601,8.97
201,9.0
17544,0.0
4260,8.54
10752,9.25
10118,9.11
3473,0.0
10450,9.08
15395,7.5
10640,10.0
3015,0.0
5368,10.0
203,7.0
14579,8.75
17936,0.0
16937,0.0
11457,8.83
5681,8.5
2697,9.2
4830,10.0
12188,0.0
12845,8.66
18349,8.0
4858,7.5
11071,6.0
5821,9.3
18083,0.0
14086,10.0
13447,7.4
15836,7.6
17762,0.0
4130,0.0
11084,9.0
14922,5.5
5144,8.64
16583,0.0
12954,8.49
14813,7.48
14322,0.0
3756,9.09
6788,9.0
11241,0.0
7421,8.43
11287,7.0
15709,8.61
5835,8.33
15519,9.0
9284,8.81
7941,8.61
2373,10.0
13750,10.0
1163,0.0
18185,0.0
712,8.0
1807,8.0
9945,9.88
13964,10.0
15045,1.0
3153,10.0
14182,9.11
18,10.0
6548,7.0
14397,0.0
13893,8.75
5754,8.5
268,0.0
10672,8.5
17809,0.0
11448,8.87
8703,0.0
12908,0.0
15554,5.5
6368,8.0
5519,10.0
12779,8.54
15128,8.44
17652,0.0
17907,0.0
8617,8.29
13519,9.0
14932,0.0
5569,9.15
8566,0.0
13139,0.0
2933,7.5
8790,8.33
9830,8.93
3406,0.0
15173,8.0
14575,9.5
9096,8.37
6027,9.0
3357,6.25
15563,9.1
16284,9.33
10266,10.0
16129,0.0
13558,8.35
9512,0.0
11720,0.0
12161,9.0
18399,8.5
1970,10.0
18512,10.0
11423,9.0
4100,8.93
9504,8.75
10769,8.0
17021,0.0
18934,0.0
8523,7.94
13131,8.69
823,7.83
7498,8.71
10620,7.0
5081,4.5
10799,9.0
11841,8.0
5098,7.52
1952,7.37
14111,10.0
3217,7.0
5329,0.0
9807,9.06
9126,0.0
11223,10.0
4475,8.0
15000,0.0
704,10.0
18214,0.0
5772,5.0
8138,8.77
12077,0.0
8256,0.0
9447,8.65
12984,8.71
2780,6.0
17924,9.0
2165,6.8
18077,0.0
9186,7.95
18174,0.0
5173,8.75
15389,9.2
3478,0.0
19022,8.59
5861,0.0
6219,8.5
18978,8.6
1561,8.35
12703,0.0
17046,10.0
9225,0.0
607,8.77
3588,7.0
7199,0.0
17492,0.0
7861,0.0
13247,10.0
16307,9.0
12039,0.0
16003,10.0
12539,0.0
5593,9.21
7184,8.0
4588,0.0
3798,9.0
4316,7.94
3197,0.0
3777,8.83
